epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,140.88,1.22551,1.11888,1.07239,0.77902,0.65231,0.68129,0.394,1.56763,1.06476,1.28068,0.000431256,0.000431256,0.000431256
42,143.95,1.26566,1.14118,1.08103,0.82328,0.61554,0.67739,0.39624,1.57148,1.05928,1.28207,0.000424187,0.000424187,0.000424187
43,157.823,1.21967,1.135,1.06353,0.83941,0.44492,0.50182,0.2802,1.57202,1.08554,1.28036,0.000417119,0.000417119,0.000417119
44,150.499,1.21456,1.10654,1.05189,0.83669,0.6122,0.68574,0.37462,1.57667,1.09622,1.28533,0.00041005,0.00041005,0.00041005
45,153.624,1.22984,1.11035,1.05403,0.76673,0.65015,0.69171,0.35112,1.59136,1.12155,1.30279,0.000402982,0.000402982,0.000402982
46,156.689,1.20859,1.10991,1.05921,0.81478,0.60887,0.69246,0.347,1.64268,1.10407,1.33813,0.000395913,0.000395913,0.000395913
47,159.864,1.25377,1.08469,1.05493,0.8859,0.54138,0.63433,0.33059,1.62536,1.09274,1.30983,0.000388844,0.000388844,0.000388844
48,162.957,1.20718,1.04843,1.06262,0.72996,0.59182,0.65415,0.33756,1.61954,1.05807,1.29139,0.000381776,0.000381776,0.000381776
49,166.169,1.19319,1.02053,1.03998,0.91683,0.54926,0.65734,0.3717,1.57585,1.02302,1.26643,0.000374707,0.000374707,0.000374707
50,169.23,1.16846,0.99928,1.03263,0.86499,0.60392,0.69319,0.39331,1.57797,1.00427,1.27511,0.000367639,0.000367639,0.000367639
51,183.112,1.1636,0.99936,1.0433,0.84282,0.60121,0.66362,0.3758,1.59098,1.01361,1.28018,0.00036057,0.00036057,0.00036057
52,175.29,1.21622,1.00657,1.04534,0.83111,0.58528,0.6787,0.3925,1.57113,1.02627,1.27096,0.000353501,0.000353501,0.000353501
53,178.277,1.16571,0.99791,1.0301,0.73848,0.55823,0.64267,0.36005,1.53411,0.99745,1.25684,0.000346433,0.000346433,0.000346433
54,181.358,1.1636,0.98801,1.02537,0.92934,0.52601,0.66143,0.37367,1.5411,0.97995,1.24836,0.000339364,0.000339364,0.000339364
55,184.483,1.14978,0.98176,1.02058,0.78109,0.61956,0.71337,0.38971,1.57228,0.9761,1.28321,0.000332296,0.000332296,0.000332296
56,187.953,1.17291,0.99072,1.03227,0.66311,0.69184,0.70356,0.40881,1.58249,1.01109,1.28763,0.000325227,0.000325227,0.000325227
57,191.194,1.13066,0.96982,1.02312,0.71162,0.63607,0.69304,0.40435,1.62101,1.0198,1.30637,0.000318158,0.000318158,0.000318158
58,194.255,1.1233,0.93442,1.00578,0.7726,0.60298,0.69902,0.37203,1.6056,1.01896,1.28818,0.00031109,0.00031109,0.00031109
59,197.393,1.10672,0.926,1.00004,0.63918,0.71595,0.71413,0.39331,1.55115,0.98787,1.25384,0.000304021,0.000304021,0.000304021
60,200.545,1.13777,0.94796,1.02284,0.72252,0.67207,0.75634,0.44157,1.56445,0.99517,1.26554,0.000296953,0.000296953,0.000296953
61,203.568,1.12467,0.93543,1.01518,0.83571,0.67679,0.76839,0.4463,1.54497,0.97906,1.25202,0.000289884,0.000289884,0.000289884
62,206.625,1.13461,0.95453,1.01396,0.78636,0.68917,0.73428,0.43614,1.55306,0.98309,1.24935,0.000282815,0.000282815,0.000282815
63,209.621,1.09162,0.92116,0.99648,0.70965,0.66526,0.72337,0.43145,1.554,0.96766,1.25184,0.000275747,0.000275747,0.000275747
64,213.189,1.053,0.87847,0.9873,0.65366,0.67812,0.70414,0.39692,1.5667,0.97427,1.25268,0.000268678,0.000268678,0.000268678
65,216.549,1.09925,0.91263,1.00321,0.60107,0.65884,0.67226,0.38318,1.58648,1.00675,1.26944,0.00026161,0.00026161,0.00026161
66,219.807,1.0678,0.88022,0.97886,0.61093,0.62615,0.67335,0.38077,1.57192,0.99399,1.26999,0.000254541,0.000254541,0.000254541
67,223.047,1.04165,0.88561,0.98889,0.63995,0.64047,0.68692,0.38918,1.56939,0.97844,1.27375,0.000247472,0.000247472,0.000247472
68,226.132,1.04792,0.85535,0.98639,0.66987,0.6111,0.71033,0.38189,1.58215,0.97357,1.284,0.000240404,0.000240404,0.000240404
69,229.233,1.03318,0.86789,0.97913,0.73254,0.60469,0.70739,0.40385,1.58772,0.94936,1.28531,0.000233335,0.000233335,0.000233335
70,232.453,1.06536,0.87156,0.9925,0.74817,0.58997,0.70472,0.42882,1.59376,0.93709,1.28164,0.000226267,0.000226267,0.000226267
71,235.688,1.03556,0.85204,0.98729,0.70959,0.62979,0.71893,0.43496,1.59458,0.91965,1.28248,0.000219198,0.000219198,0.000219198
72,238.737,1.03922,0.84637,0.98149,0.70999,0.60236,0.69426,0.41217,1.5668,0.92988,1.27868,0.000212129,0.000212129,0.000212129
73,241.902,1.01527,0.84165,0.97143,0.6633,0.63013,0.69438,0.41726,1.58208,0.94169,1.28751,0.000205061,0.000205061,0.000205061
74,244.967,1.00597,0.82844,0.96299,0.74147,0.55331,0.66939,0.39457,1.57992,0.94852,1.28086,0.000197992,0.000197992,0.000197992
75,248.289,0.99383,0.83073,0.97612,0.72246,0.55951,0.67001,0.37106,1.59281,0.98972,1.28131,0.000190924,0.000190924,0.000190924
76,251.486,1.00664,0.84291,0.96737,0.67101,0.63189,0.67685,0.37389,1.5994,1.01521,1.28586,0.000183855,0.000183855,0.000183855
77,254.699,1.00534,0.8379,0.97039,0.90841,0.61391,0.77857,0.40754,1.61949,0.97968,1.29977,0.000176786,0.000176786,0.000176786
78,257.746,0.98525,0.78906,0.95322,0.77067,0.63275,0.73397,0.42124,1.59136,0.93782,1.28957,0.000169718,0.000169718,0.000169718
79,260.879,0.98727,0.82496,0.97581,0.73308,0.60556,0.71757,0.40244,1.59314,0.92925,1.29167,0.000162649,0.000162649,0.000162649
80,264.038,0.99642,0.79875,0.97219,0.76001,0.59052,0.71456,0.40159,1.59955,0.90848,1.29752,0.000155581,0.000155581,0.000155581
81,278.198,0.9717,0.79557,0.94726,0.69252,0.63129,0.71096,0.40625,1.59064,0.89762,1.29491,0.000148512,0.000148512,0.000148512
82,270.679,0.99089,0.79658,0.97074,0.71885,0.63578,0.72644,0.42998,1.57813,0.87508,1.28439,0.000141443,0.000141443,0.000141443
83,273.581,0.95267,0.7644,0.95103,0.70139,0.65532,0.73196,0.43859,1.56646,0.87118,1.27168,0.000134375,0.000134375,0.000134375
84,276.84,0.98543,0.8025,0.9612,0.74118,0.71204,0.7431,0.44387,1.5589,0.87147,1.26141,0.000127306,0.000127306,0.000127306
85,279.977,0.949,0.78799,0.9457,0.78593,0.71544,0.74265,0.44302,1.56211,0.8666,1.26564,0.000120238,0.000120238,0.000120238
86,283.283,0.96034,0.78246,0.94837,0.83773,0.70592,0.75497,0.44543,1.56291,0.86885,1.26945,0.000113169,0.000113169,0.000113169
87,286.435,0.9301,0.75766,0.94852,0.77021,0.67777,0.73524,0.42978,1.54368,0.8738,1.25971,0.0001061,0.0001061,0.0001061
88,289.69,0.95385,0.78213,0.94592,0.76529,0.62517,0.72868,0.41849,1.53839,0.8726,1.26092,9.90318e-05,9.90318e-05,9.90318e-05
89,292.911,0.9435,0.78135,0.95724,0.71199,0.76781,0.76453,0.42028,1.55557,0.88694,1.26754,9.19632e-05,9.19632e-05,9.19632e-05
90,295.987,0.94379,0.76038,0.94691,0.77214,0.65479,0.7343,0.41723,1.56583,0.88079,1.27519,8.48946e-05,8.48946e-05,8.48946e-05
91,300.62,0.9377,0.81829,0.9476,0.75262,0.63024,0.72602,0.40911,1.57678,0.8756,1.27432,7.7826e-05,7.7826e-05,7.7826e-05
92,303.81,0.94669,0.79926,0.96296,0.76313,0.62191,0.72043,0.40914,1.57213,0.87374,1.26733,7.07574e-05,7.07574e-05,7.07574e-05
93,306.948,0.90574,0.78036,0.94065,0.77074,0.60845,0.71791,0.41144,1.57398,0.87938,1.2718,6.36888e-05,6.36888e-05,6.36888e-05
94,310.056,0.85486,0.75061,0.93048,0.76161,0.59219,0.73018,0.42203,1.5686,0.8851,1.26966,5.66202e-05,5.66202e-05,5.66202e-05
95,313.518,0.88111,0.75545,0.93403,0.76919,0.59434,0.72904,0.41725,1.56678,0.89015,1.26384,4.95516e-05,4.95516e-05,4.95516e-05
96,316.85,0.85227,0.72895,0.92844,0.78363,0.61087,0.74769,0.42772,1.57115,0.88935,1.26548,4.2483e-05,4.2483e-05,4.2483e-05
97,320.048,0.82718,0.72902,0.91111,0.7726,0.61541,0.72564,0.42507,1.57266,0.8867,1.26712,3.54144e-05,3.54144e-05,3.54144e-05
98,323.256,0.84768,0.73232,0.9264,0.7767,0.6092,0.72632,0.41701,1.57925,0.88699,1.27447,2.83458e-05,2.83458e-05,2.83458e-05
99,326.35,0.82704,0.71573,0.9259,0.78278,0.58966,0.70757,0.40858,1.5789,0.88971,1.27463,2.12772e-05,2.12772e-05,2.12772e-05
100,329.661,0.83875,0.73449,0.90204,0.78527,0.59103,0.71085,0.40905,1.57674,0.88417,1.27417,1.42086e-05,1.42086e-05,1.42086e-05
1,19.0119,2.42512,4.88884,1.8648,0.00011,0.02917,8e-05,2e-05,2.01124,4.39997,1.62587,7.854e-05,7.854e-05,7.854e-05
2,22.8363,2.14887,4.61662,1.56043,0.00048,0.05057,0.00082,0.00031,1.85272,4.27367,1.42634,0.000163407,0.000163407,0.000163407
3,25.7241,1.98401,4.23585,1.40699,0.00542,0.24157,0.01017,0.00358,1.73916,4.17053,1.34299,0.000247426,0.000247426,0.000247426
4,28.514,1.98211,3.75701,1.41147,0.00413,0.19992,0.0387,0.02347,1.7401,4.1559,1.43303,0.000330597,0.000330597,0.000330597
5,30.983,1.94317,3.35406,1.38533,0.00679,0.34954,0.09607,0.04341,1.83927,3.81809,1.44632,0.000412919,0.000412919,0.000412919
6,33.9142,1.91431,3.06294,1.36332,0.9775,0.01939,0.15393,0.06892,1.79828,3.4749,1.38792,0.000494393,0.000494393,0.000494393
7,36.2308,1.86411,2.83035,1.33392,0.93874,0.04116,0.19204,0.08413,1.82263,3.12531,1.37389,0.000575019,0.000575019,0.000575019
8,38.5431,1.80178,2.57663,1.35951,0.75436,0.07886,0.18108,0.07912,1.86485,3.03492,1.47374,0.000654797,0.000654797,0.000654797
9,40.7487,1.79719,2.40174,1.32481,0.79094,0.13125,0.208,0.09406,1.81833,2.93908,1.43174,0.000685726,0.000685726,0.000685726
10,43.1782,1.75295,2.33279,1.32202,0.71846,0.16818,0.26151,0.12045,1.75005,2.4889,1.4005,0.000682191,0.000682191,0.000682191
11,45.6481,1.73489,2.26494,1.31874,0.74052,0.20578,0.26753,0.13112,1.77807,2.40483,1.45864,0.000678657,0.000678657,0.000678657
12,48.1208,1.75703,2.21488,1.33581,0.73254,0.26064,0.28953,0.16218,1.6773,2.14644,1.35058,0.000675123,0.000675123,0.000675123
13,50.6463,1.70125,2.13521,1.30959,0.75578,0.30193,0.31705,0.16943,1.67228,1.92399,1.35631,0.000671588,0.000671588,0.000671588
14,53.0659,1.63194,1.94312,1.26338,0.71604,0.31936,0.32108,0.17315,1.67717,1.87017,1.33239,0.000668054,0.000668054,0.000668054
15,67.9553,1.65688,1.94427,1.2722,0.68381,0.25928,0.30445,0.16029,1.67905,1.91081,1.33447,0.00066452,0.00066452,0.00066452
16,70.6841,1.60597,1.86144,1.25683,0.75712,0.32439,0.33356,0.18815,1.62735,1.7328,1.32929,0.000660986,0.000660986,0.000660986
17,72.9946,1.59494,1.85334,1.26465,0.80627,0.32233,0.37132,0.2047,1.66125,1.64045,1.35202,0.000657451,0.000657451,0.000657451
18,75.5573,1.62673,1.76523,1.25348,0.89816,0.37578,0.43945,0.22145,1.64079,1.46179,1.32247,0.000653917,0.000653917,0.000653917
19,78.0222,1.52567,1.69224,1.19539,0.77978,0.34771,0.41366,0.22242,1.64284,1.44289,1.33471,0.000650383,0.000650383,0.000650383
20,80.4686,1.52523,1.62028,1.20595,0.75039,0.41935,0.40225,0.21736,1.61196,1.43842,1.33735,0.000646848,0.000646848,0.000646848
21,73.2905,1.51672,1.66746,1.22505,0.71607,0.34541,0.34143,0.18942,1.67477,1.5175,1.37693,0.000643314,0.000643314,0.000643314
22,77.4768,1.49522,1.66338,1.22235,0.66395,0.35947,0.47651,0.28615,1.6794,1.41637,1.34011,0.00063978,0.00063978,0.00063978
23,81.1858,1.47763,1.52624,1.19434,0.80862,0.3926,0.46005,0.25051,1.60508,1.39168,1.31638,0.000636245,0.000636245,0.000636245
24,95.6414,1.47546,1.5427,1.1936,0.60736,0.42584,0.45065,0.25358,1.69487,1.32838,1.35451,0.000632711,0.000632711,0.000632711
25,86.9638,1.4775,1.48111,1.19316,0.69268,0.4763,0.56301,0.28853,1.65227,1.31441,1.32343,0.000629177,0.000629177,0.000629177
26,100.459,1.4889,1.54388,1.18442,0.69752,0.48971,0.55644,0.31901,1.62085,1.40964,1.29539,0.000625642,0.000625642,0.000625642
27,92.3189,1.46425,1.4924,1.17983,0.76582,0.51178,0.55944,0.26963,1.66155,1.45265,1.35141,0.000622108,0.000622108,0.000622108
28,95.2943,1.40635,1.44249,1.17652,0.84063,0.53258,0.58506,0.30034,1.60276,1.26388,1.29861,0.000618574,0.000618574,0.000618574
29,98.1034,1.40714,1.39748,1.16211,0.85298,0.52544,0.60109,0.31233,1.6108,1.29418,1.30098,0.00061504,0.00061504,0.00061504
30,100.694,1.38903,1.41977,1.13913,0.86985,0.49887,0.58855,0.32248,1.60893,1.23084,1.27973,0.000611505,0.000611505,0.000611505
31,103.325,1.38337,1.34997,1.15316,0.82295,0.46684,0.54171,0.30964,1.60863,1.23801,1.30605,0.000607971,0.000607971,0.000607971
32,105.687,1.38943,1.31391,1.12969,0.66864,0.53192,0.53661,0.29785,1.57226,1.20776,1.29551,0.000604437,0.000604437,0.000604437
33,108.102,1.32911,1.33566,1.15043,0.6942,0.57242,0.5612,0.28657,1.59744,1.21395,1.32871,0.000600902,0.000600902,0.000600902
34,110.739,1.32798,1.26661,1.12714,0.74859,0.50671,0.56296,0.26973,1.60772,1.29521,1.31825,0.000597368,0.000597368,0.000597368
35,113.325,1.34079,1.26938,1.11068,0.69636,0.47911,0.55952,0.27763,1.63879,1.27399,1.31206,0.000593834,0.000593834,0.000593834
36,115.773,1.33134,1.27634,1.11269,0.746,0.60398,0.6393,0.34898,1.57706,1.1542,1.30187,0.0005903,0.0005903,0.0005903
37,118.353,1.29902,1.21625,1.08771,0.66724,0.60347,0.64602,0.35614,1.57383,1.17955,1.28036,0.000586765,0.000586765,0.000586765
38,120.798,1.33684,1.23347,1.10394,0.69908,0.55342,0.61061,0.32931,1.57034,1.19157,1.2727,0.000583231,0.000583231,0.000583231
39,123.192,1.30006,1.18306,1.10447,0.65477,0.56409,0.5727,0.32093,1.57425,1.13385,1.27101,0.000579697,0.000579697,0.000579697
40,125.526,1.30806,1.19288,1.09888,0.78772,0.57314,0.67838,0.38418,1.6081,1.10687,1.27656,0.000576162,0.000576162,0.000576162
41,128.279,1.28902,1.14571,1.09904,0.71235,0.61828,0.70038,0.37649,1.64989,1.13873,1.30607,0.000572628,0.000572628,0.000572628
42,130.786,1.30628,1.13414,1.10052,0.66565,0.65728,0.69212,0.37227,1.65911,1.13015,1.34236,0.000569094,0.000569094,0.000569094
43,133.442,1.27408,1.15693,1.08666,0.85613,0.54972,0.6502,0.3431,1.67575,1.14817,1.31857,0.000565559,0.000565559,0.000565559
44,135.955,1.27172,1.10903,1.07999,0.66554,0.55491,0.66168,0.35154,1.57536,1.07894,1.26166,0.000562025,0.000562025,0.000562025
45,138.53,1.29061,1.12993,1.07773,0.82718,0.55694,0.6727,0.35435,1.62652,1.06635,1.27424,0.000558491,0.000558491,0.000558491
46,141.086,1.2304,1.0717,1.06839,0.82924,0.5444,0.68643,0.37704,1.6245,1.06495,1.29728,0.000554956,0.000554956,0.000554956
47,143.516,1.26536,1.08966,1.06329,0.85141,0.53982,0.65264,0.36918,1.61311,1.0539,1.30594,0.000551422,0.000551422,0.000551422
48,145.977,1.23821,1.04873,1.0895,0.82296,0.58665,0.66739,0.39426,1.57231,1.02119,1.27825,0.000547888,0.000547888,0.000547888
49,148.423,1.20243,1.02155,1.05087,0.89254,0.54843,0.6266,0.3805,1.56129,1.01826,1.28112,0.000544354,0.000544354,0.000544354
50,151.049,1.2317,1.01453,1.05375,0.87784,0.53654,0.6186,0.38295,1.59709,1.04871,1.28285,0.000540819,0.000540819,0.000540819
51,153.57,1.22889,1.00848,1.05846,0.83675,0.51796,0.61728,0.37477,1.61856,1.13763,1.2883,0.000537285,0.000537285,0.000537285
52,156.165,1.27603,1.03492,1.062,0.75768,0.56754,0.62734,0.36865,1.60413,1.14168,1.29342,0.000533751,0.000533751,0.000533751
53,158.737,1.20984,1.01597,1.05161,0.52131,0.66934,0.66904,0.37248,1.59224,1.08691,1.28571,0.000530216,0.000530216,0.000530216
54,161.156,1.24624,1.02352,1.0584,0.61654,0.71718,0.73079,0.41615,1.53599,1.0647,1.26636,0.000526682,0.000526682,0.000526682
55,163.609,1.19496,0.98749,1.03849,0.79839,0.68886,0.7609,0.41701,1.5646,1.05605,1.26482,0.000523148,0.000523148,0.000523148
56,166.105,1.25292,1.00859,1.06465,0.66588,0.76835,0.74876,0.41148,1.5597,1.01731,1.27586,0.000519613,0.000519613,0.000519613
57,168.711,1.17589,0.9585,1.04805,0.64439,0.65931,0.67659,0.37565,1.59061,1.05587,1.28421,0.000516079,0.000516079,0.000516079
58,171.303,1.16888,0.93575,1.02736,0.63192,0.69037,0.69544,0.37141,1.61814,1.09123,1.29898,0.000512545,0.000512545,0.000512545
59,173.749,1.14737,0.93337,1.01987,0.87103,0.69967,0.76653,0.41984,1.59433,1.02909,1.3076,0.000509011,0.000509011,0.000509011
60,176.537,1.17711,0.9611,1.04184,0.75778,0.7668,0.78195,0.45537,1.56962,0.94785,1.29507,0.000505476,0.000505476,0.000505476
61,179.065,1.14981,0.93804,1.03227,0.77791,0.70637,0.74973,0.44173,1.59063,0.96332,1.30576,0.000501942,0.000501942,0.000501942
62,181.437,1.16583,0.93863,1.03193,0.726,0.67031,0.72476,0.43723,1.57128,1.00214,1.28669,0.000498408,0.000498408,0.000498408
63,183.981,1.14827,0.90884,1.02092,0.62405,0.65803,0.66368,0.40388,1.56336,1.03985,1.27772,0.000494873,0.000494873,0.000494873
64,187.364,1.12307,0.88847,1.01402,0.62479,0.57313,0.59936,0.35329,1.55656,1.06123,1.26537,0.000491339,0.000491339,0.000491339
65,190.097,1.14542,0.90442,1.02726,0.61716,0.57613,0.64442,0.35379,1.58227,1.05553,1.29035,0.000487805,0.000487805,0.000487805
66,192.75,1.12554,0.88441,1.00252,0.68009,0.7057,0.71543,0.38867,1.59271,0.99862,1.31648,0.000484271,0.000484271,0.000484271
67,195.35,1.10577,0.89901,1.02423,0.70131,0.69254,0.71247,0.39938,1.57766,0.96254,1.30453,0.000480736,0.000480736,0.000480736
68,197.881,1.0963,0.86013,1.01164,0.62127,0.62634,0.64465,0.37514,1.61827,1.01269,1.31575,0.000477202,0.000477202,0.000477202
69,200.443,1.08303,0.86014,0.9959,0.56814,0.73693,0.66662,0.38424,1.60663,1.01362,1.30495,0.000473668,0.000473668,0.000473668
70,203.218,1.13319,0.87504,1.01703,0.76402,0.65457,0.74179,0.40858,1.61694,1.0092,1.31765,0.000470133,0.000470133,0.000470133
71,216.799,1.06857,0.84932,1.00596,0.73607,0.67738,0.72767,0.41372,1.59654,0.99202,1.30944,0.000466599,0.000466599,0.000466599
72,219.363,1.08399,0.85916,1.00579,0.68101,0.68056,0.7191,0.40219,1.59333,0.9798,1.30801,0.000463065,0.000463065,0.000463065
73,221.909,1.06315,0.84096,0.99483,0.62472,0.75696,0.71629,0.40052,1.62014,0.97373,1.31183,0.00045953,0.00045953,0.00045953
74,224.556,1.07639,0.83402,0.98814,0.8177,0.64712,0.73447,0.41267,1.62975,0.95123,1.30601,0.000455996,0.000455996,0.000455996
75,227.217,1.0575,0.84571,0.99995,0.84198,0.65019,0.75147,0.43509,1.61471,0.96875,1.31774,0.000452462,0.000452462,0.000452462
