epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,23.8867,1.3369,1.70023,1.18848,0.62874,0.37472,0.32671,0.17094,1.92344,2.90318,1.72116,0.00077975,0.00077975,0.00077975
40,24.4638,1.15378,1.57058,1.06357,0.42577,0.36485,0.3571,0.16877,1.97154,2.78001,1.7208,0.000767375,0.000767375,0.000767375
41,25.029,1.25528,1.59389,1.05124,0.42577,0.36485,0.3571,0.16877,1.97154,2.78001,1.7208,0.000755,0.000755,0.000755
42,25.5963,1.1309,2.03553,1.11497,0.4091,0.45833,0.41283,0.22513,1.97987,2.5965,1.71463,0.000742625,0.000742625,0.000742625
43,26.1584,1.10368,1.41817,1.01792,0.39402,0.46393,0.45011,0.28376,1.77768,2.50914,1.60295,0.00073025,0.00073025,0.00073025
44,26.8228,1.12595,1.4066,1.02585,0.37106,0.52083,0.49635,0.31332,1.64539,2.53135,1.52272,0.000717875,0.000717875,0.000717875
45,27.4137,1.03626,1.55765,1.05277,0.37106,0.52083,0.49635,0.31332,1.64539,2.53135,1.52272,0.0007055,0.0007055,0.0007055
46,28.0293,1.09524,1.19419,1.01342,0.37724,0.52083,0.37138,0.23232,1.77067,2.55374,1.58051,0.000693125,0.000693125,0.000693125
47,28.7601,1.27642,1.53243,1.1523,0.43043,0.52083,0.38771,0.22766,1.8004,2.52069,1.62822,0.00068075,0.00068075,0.00068075
48,29.3156,1.13962,1.52999,1.05465,0.54154,0.48135,0.43496,0.27097,1.69566,2.39146,1.61959,0.000668375,0.000668375,0.000668375
49,29.8724,1.06333,1.36356,1.05946,0.54154,0.48135,0.43496,0.27097,1.69566,2.39146,1.61959,0.000656,0.000656,0.000656
50,27.4792,1.12247,1.5014,1.07837,0.59552,0.45939,0.54894,0.31975,1.73482,2.28311,1.64353,0.000643625,0.000643625,0.000643625
51,28.0876,1.18227,1.61105,1.06576,0.65128,0.47785,0.52567,0.30055,1.73989,2.30987,1.65309,0.00063125,0.00063125,0.00063125
52,28.6715,1.15804,1.32286,1.02126,0.57725,0.47575,0.49889,0.27641,1.74142,2.30303,1.67166,0.000618875,0.000618875,0.000618875
53,29.2657,1.083,1.28122,1.06467,0.57725,0.47575,0.49889,0.27641,1.74142,2.30303,1.67166,0.0006065,0.0006065,0.0006065
54,29.8337,1.02498,1.33217,1.00016,0.57793,0.45439,0.51334,0.26902,1.78278,2.28734,1.70913,0.000594125,0.000594125,0.000594125
55,30.3853,1.0173,1.19372,0.99108,0.46339,0.44577,0.51134,0.28725,1.71033,2.33862,1.66374,0.00058175,0.00058175,0.00058175
56,30.9875,1.03164,1.24676,0.97728,0.38832,0.50984,0.4396,0.25926,1.70279,2.40671,1.63089,0.000569375,0.000569375,0.000569375
