epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
71,55.2805,0.00163,0.89655,1,0.23511,0.000438703,0.000438703,0.000438703
72,56.0375,0.00842,0.91379,1,0.24969,0.000424556,0.000424556,0.000424556
73,56.8434,0.00965,0.91379,1,0.24933,0.000410409,0.000410409,0.000410409
74,57.5845,0.0084,0.93103,1,0.16647,0.000396262,0.000396262,0.000396262
75,58.3188,0.00488,0.93103,1,0.20358,0.000382115,0.000382115,0.000382115
76,59.1195,0.00573,0.93103,1,0.15417,0.000367967,0.000367967,0.000367967
77,59.8323,0.0017,0.94828,1,0.13618,0.00035382,0.00035382,0.00035382
78,60.699,0.00562,0.93103,1,0.17007,0.000339673,0.000339673,0.000339673
79,61.4177,0.00463,0.94828,1,0.14275,0.000325526,0.000325526,0.000325526
80,62.3232,0.00232,0.94828,1,0.13197,0.000311379,0.000311379,0.000311379
81,63.179,0.00392,0.94828,1,0.15813,0.000297232,0.000297232,0.000297232
82,64.0133,0.03283,0.94828,1,0.14215,0.000283085,0.000283085,0.000283085
83,64.7818,0.00119,0.94828,1,0.16382,0.000268938,0.000268938,0.000268938
84,65.5728,0.00349,0.93103,1,0.16223,0.000254791,0.000254791,0.000254791
85,66.3381,0.03025,0.93103,1,0.14929,0.000240644,0.000240644,0.000240644
86,67.1112,0.00278,0.94828,1,0.15337,0.000226497,0.000226497,0.000226497
87,67.7567,0.00335,0.93103,1,0.16811,0.000212349,0.000212349,0.000212349
88,68.556,0.01381,0.93103,1,0.17526,0.000198202,0.000198202,0.000198202
89,69.3252,0.00149,0.93103,1,0.17564,0.000184055,0.000184055,0.000184055
90,70.1862,0.00619,0.93103,1,0.15178,0.000169908,0.000169908,0.000169908
91,72.5236,0.00158,0.93103,1,0.17749,0.000155761,0.000155761,0.000155761
92,73.2189,0.00454,0.93103,1,0.18146,0.000141614,0.000141614,0.000141614
93,74.0713,0.00147,0.93103,1,0.17239,0.000127467,0.000127467,0.000127467
94,75.0815,0.03953,0.96552,1,0.13998,0.00011332,0.00011332,0.00011332
95,76.1905,0.00244,0.96552,1,0.13388,9.91726e-05,9.91726e-05,9.91726e-05
96,77.1203,0.00635,0.94828,1,0.16557,8.50255e-05,8.50255e-05,8.50255e-05
97,78.1094,0.00639,0.93103,1,0.15985,7.08784e-05,7.08784e-05,7.08784e-05
98,78.9704,0.00864,0.94828,1,0.15964,5.67313e-05,5.67313e-05,5.67313e-05
99,79.6788,0.00188,0.94828,1,0.14709,4.25842e-05,4.25842e-05,4.25842e-05
100,80.3862,0.00639,0.94828,1,0.15832,2.84371e-05,2.84371e-05,2.84371e-05
